10;1;0.00019642
10;2;0.00022028
10;4;0.00035625
10;8;0.00063131
100;1;0.00020665
100;2;0.00024979
100;4;0.00036785
100;8;0.00055121
1000;1;0.00036171
1000;2;0.00039357
1000;4;0.00055381
1000;8;0.00074163
10000;1;0.00175927
10000;2;0.00183348
10000;4;0.00193424
10000;8;0.00222048
25000;1;0.00415273
25000;2;0.00407076
25000;4;0.00436567
25000;8;0.00450147
50000;1;0.00861311
50000;2;0.00788056
50000;4;0.00834713
50000;8;0.00900467
100000;1;0.01692122
100000;2;0.01668552
100000;4;0.01731467
100000;8;0.01790178
250000;1;0.03918708
250000;2;0.04068671
250000;4;0.04205866
250000;8;0.04331514
500000;1;0.07800212
500000;2;0.07965705
500000;4;0.08139342
500000;8;0.08278984
1000000;1;0.15941470
1000000;2;0.15680709
1000000;4;0.15802878
1000000;8;0.16580698089983342
