10;1;0.00025010
10;2;0.00024909
10;4;0.00025954
10;8;0.00024560
100;1;0.00029070
100;2;0.00029789
100;4;0.00028735
100;8;0.00027413
1000;1;0.00069578
1000;2;0.00063392
1000;4;0.00070119
1000;8;0.00063427
10000;1;0.00620592
10000;2;0.00852476
10000;4;0.00802921
10000;8;0.00872667
25000;1;0.00954087
25000;2;0.01202168
25000;4;0.01318505
25000;8;0.01279339
50000;1;0.02135573
50000;2;0.02019035
50000;4;0.02039129
50000;8;0.02012351
100000;1;0.02570876
100000;2;0.03306791
100000;4;0.03608221
100000;8;0.03508795
250000;1;0.05363212
250000;2;0.07679780
250000;4;0.08053461
250000;8;0.07543498
500000;1;0.09220468
500000;2;0.14963089
500000;4;0.14856698
500000;8;0.13936804
1000000;1;0.19663939
1000000;2;0.24565160
1000000;4;0.24729388
1000000;8;0.22012053960000003
